bezirk;year;gesamt_bewaesserung_liter;einwohner;liter_pro_einwohner
Charlottenburg-Wilmersdorf;2020;60750;;
Charlottenburg-Wilmersdorf;2021;28100;;
Charlottenburg-Wilmersdorf;2022;128153;;
Charlottenburg-Wilmersdorf;2023;53664;;
Charlottenburg-Wilmersdorf;2024;22980;;
Friedrichshain-Kreuzberg;2020;106810;;
Friedrichshain-Kreuzberg;2021;36105;;
Friedrichshain-Kreuzberg;2022;76252;;
Friedrichshain-Kreuzberg;2023;36741;;
Friedrichshain-Kreuzberg;2024;17884;;
Lichtenberg;2020;24935;;
Lichtenberg;2021;15030;;
Lichtenberg;2022;32172;;
Lichtenberg;2023;21086;;
Lichtenberg;2024;8868;;
Lichtenberg;2025;1;;
Marzahn-Hellersdorf;2020;310;;
Marzahn-Hellersdorf;2021;2690;;
Marzahn-Hellersdorf;2022;18715;;
Marzahn-Hellersdorf;2023;9105;;
Marzahn-Hellersdorf;2024;320;;
Mitte;2020;69740;;
Mitte;2021;40560;;
Mitte;2022;130719;;
Mitte;2023;79125;;
Mitte;2024;33237;;
Neukölln;2020;47450;;
Neukölln;2021;25660;;
Neukölln;2022;51100;;
Neukölln;2023;26713;;
Neukölln;2024;12069;;
Pankow;2020;52670;;
Pankow;2021;28445;;
Pankow;2022;100920;;
Pankow;2023;44759;;
Pankow;2024;20515;;
Reinickendorf;2020;11645;;
Reinickendorf;2021;8825;;
Reinickendorf;2022;40184;;
Reinickendorf;2023;13584;;
Reinickendorf;2024;12138;;
Spandau;2020;2560;;
Spandau;2021;1435;;
Spandau;2022;4579;;
Spandau;2023;1047;;
Spandau;2024;635;;
Steglitz-Zehlendorf;2020;29455;;
Steglitz-Zehlendorf;2021;17300;;
Steglitz-Zehlendorf;2022;82265;;
Steglitz-Zehlendorf;2023;31468;;
Steglitz-Zehlendorf;2024;11065;;
Tempelhof-Schöneberg;2020;74810;;
Tempelhof-Schöneberg;2021;38800;;
Tempelhof-Schöneberg;2022;103891;;
Tempelhof-Schöneberg;2023;46943;;
Tempelhof-Schöneberg;2024;21855;;
Treptow-Köpenick;2020;15360;;
Treptow-Köpenick;2021;10645;;
Treptow-Köpenick;2022;47465;;
Treptow-Köpenick;2023;31138;;
Treptow-Köpenick;2024;8359;;
