adoptedtrees;uniqueadoptedtrees;uniqueusers;treeswatered;uniquetreeswatered;uniquewateringusers;totalwateramount;datestamp
4581;4343;2068;22871;5870;1949;680800;09.07.2021
4749;4504;2163;24292;6086;2020;725660;01.08.2021
4889;4625;2248;25488;6240;2068;765030;01.09.2021
4943;4678;2285;25932;6286;2086;778680;01.10.2021
4954;4687;2292;26076;6299;2091;782665;01.11.2021
4965;4696;2297;26102;6301;2092;783525;01.12.2021
4970;4700;2299;26107;6302;2093;783730;01.01.2022
4970;4700;2298;26114;6302;2093;784055;01.02.2022
4990;4719;2303;26121;6303;2094;784260;01.03.2022
5208;4911;2445;27101;6540;2209;809160;01.04.2022
5138;4989;2492;27368;6540;2223;815535;21.04.2022
5418;5255;2651;28223;6758;2313;843618;01.05.2022
5894;5706;2932;31170;7325;2574;960795;01.06.2022
6220;6020;3139;34753;7929;2780;1127861;01.07.2022
6735;6487;3401;38700;8602;3015;1313638;01.08.2022
7198;6920;3658;43902;9332;3275;1567311;01.09.2022
7233;6952;3680;44645;9398;3292;1602865;01.10.2022
7243;6962;3686;44786;9390;3295;1609597;01.11.2022
7251;6971;3688;44876;9391;3295;1611675;01.12.2022
7251;6971;3688;44876;9391;3295;1611675;01.01.2023
7251;6971;3688;44876;9391;3295;1611675;01.02.2023
7263;6984;3694;44896;9391;3295;1612146;01.03.2023
7262;6983;3695;44905;9392;3296;1612434;01.04.2023
7836;7509;4091;51229;10224;3677;1977870;10.05.2024
7917;7592;4150;51830;10309;3708;2017016;01.06.2024
8013;7684;4203;52350;10393;3742;2041442;01.07.2024
8079;7745;4238;52817;10465;3775;2059210;01.08.2024
8116;7783;4262;53773;10570;3799;2098070;01.09.2024
8167;7829;4273;54457;10633;3819;2127366;01.10.2024
8164;7825;4272;54576;10640;3820;2131515;01.11.2024
8175;7835;4272;54568;10643;3822;2131637;01.12.2024
8179;7838;4272;54572;10644;3820;2131803;01.01.2025
8175;7834;4270;54573;10645;3816;2131804;01.02.2025
8194;7853;4273;54573;10645;3815;2131804;01.03.2025
8108;7770;4242;54036;10504;3792;2114568;01.04.2025
8159;7816;4267;54458;10583;3818;2133377;01.05.2025
8207;7859;4295;55113;10695;3850;2156368;01.06.2025
